8c, 260, 0, 0, 0
f, 304, 10, 8, 2
25, fffffffffffffffe, 0, ee3feff4c0, 30
e, 15c, 0, 8, 7fff250512fd
d, fffffffffffffffe, 3, ee3feff508, 4
e, 30c, 0, 1fcc8a3cb20, 0
1e3, 18, 1fcc8a2f880, 10, ee3feff6a8
24, fffffffffffffffe, 8, 1, e8a927eba8
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
131, ffffffffffffffff, 8, e8a927eba8, 5c
21, 758, c, e8a927eb68, 4
f, 758, 1, 2522ec507e0, 4
24, fffffffffffffffe, 8, 1, e8a927edb0
131, ffffffffffffffff, 8, e8a927edb0, 5c
21, 758, c, e8a927ed98, 4
f, 758, 1, 2522ec507e0, 4
4, 564, 0, 0, 252300fec90
8c, 744, 20000, 2523638c570, 2522f792168
89, 2fc, 0, a01cf7f3e8, 10
8c, 2fc, 0, 0, 0
1ae, 20, 9, a01cf7f260, 4
d, fffffffffffffffe, 2c, 20fc5ef8b18, 8
129, 4dfb3fe248, 2000000, 4dfb3fe288, 0
8c, 1f0, 410000, 2a6e8543070, b7fbaff4f8
16, 490, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
f, 490, 0, 0, 0
17, 56c, 4dfb3fe338, 2, 4dfb3fe060
f, 56c, 1, 162eb2c07e0, 0
16, 1c4, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
f, 56c, 1, 162eb2c07e0, 0
129, 4dfb3fe248, 2000000, 4dfb3fe288, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
26, a01cf7e340, 1000, a01cf7e2f0, a01cf7e2e0
7c, 224, 40000, 0, 7059
7e, 224, 0, d6faafcd48, 27a7eb63060
25, fffffffffffffffe, 17, c416bff420, 10
112c, c416bff370, c416bff364, c416bff368, 0
12dd, ffffffff89120c08, 4, c416bff0e0, c416bff148
103b, ffffffffbb040cea, 0, 0, 0
103b, ffffffffbb040cea, 30, 1c5a6416d50, 0
1020, ffffffffbb040cea, c41699c000, 0, 1c59caf0000
112e, c416bff400, c416bff3f0, c416bff3f4, 0
25, fffffffffffffffe, 17, c416bff420, 10
11ea, c416bfe938, 1c5a443ba10, 7fff21fb89b0, c416bfe798
11b3, c416bfe810, 1c5a4438050, c416bfe838, 0
11ea, c416bfe7c0, 1, 1c5a2010030, 7fff2749ce20
1257, c416bff120, 7fff2123a7c8, c416bff120, 5562
11ea, c416bff240, 0, 0, 0
1257, c416bff120, 7fff2123a7c8, c416bff120, 5562
11ea, c416bff240, f, 1c5ace135b0, 2e
1157, c416bff2e0, c416bff3f8, 7ffe7000, 83
d, fffffffffffffffe, 2c, b7fbaff580, 8
19, 5a8, 18, a01cf7e338, 4
f, 5a8, 0, a01cf7e2a8, 0
86, 4dc, 20fc5eab670, 0, 0
24, fffffffffffffffe, e, 1, a01cf7e508
16, 56c, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
f, 56c, 0, 0, 0
17, 490, 4dfb3fe338, 2, 4dfb3fe060
f, 490, 1, 162eb2c07e0, 0
16, 1c0, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
17, 490, 4dfb3fe338, 2, 4dfb3fe060
17, 490, 4dfb3fe338, 2, 4dfb3fe060
f, 490, 1, 162eb2c07e0, 0
129, 4dfb3fe248, 2000000, 4dfb3fe288, 0
16, 490, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
f, 490, 0, 0, 0
17, 56c, 4dfb3fe338, 2, 4dfb3fe060
4, 42c, 0, 6cf4fe408, 1eb1b8e0ea8
7, 130, 0, 0, 0
7, 130, 0, 0, 0
1119, 4, c416bff4b8, 1c59c6610a8, 1c59c6610a8
f, 56c, 1, 162eb2c07e0, 0
d, fffffffffffffffe, 5, a01cf7e4b0, 8
21, 5a8, c, a01cf7e500, 4
26, a01cf7df90, 1000, a01cf7df40, a01cf7df30
19, 5c8, 18, a01cf7df88, 4
f, 5c8, 0, a01cf7def8, 0
146, 870, 0, 5, 83
17c, 18, 1, 0, ffff0000
25, fffffffffffffffe, 17, c416bff5c0, 10
5b, 4, 1c59c63b508, 1, 0
17d, 26c, c416bff250, 1, c416bff240
5b, 5, 1c59c641140, 1, 0
80, 1f0, 0, 10, 0
d, fffffffffffffffe, 2c, b7fbf7f490, 8
86, 4dc, 20fc5eab670, 0, 0
13b8, 10002, 1c5acfc8c70, 1c59c63b300, 0
16, 1c0, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
17, 56c, 4dfb3fe338, 2, 4dfb3fe060
17, 56c, 4dfb3fe338, 2, 4dfb3fe060
f, 56c, 1, 162eb2c07e0, 0
8c, 224, 20000, 27a004b9400, 27a7eb62f88
8c, 450, 0, 1b648d88c70, 425f6fcdc0
7, 130, 0, 0, 0
8c, 450, 20000, 1b648d88c70, 1b647f9c538
89, 1f0, 0, b7fc37f4a8, 10
8c, 1f0, 0, 0, 0
1ae, 20, 9, b7fc37f320, 4
d, fffffffffffffffe, 2c, 2a6e754f598, 8
5e, 43c, 300, 78, b7fc37d158
24, fffffffffffffffe, 20008, 1, b7fc37dd08
24, fffffffffffffffe, 4, 1, 2a6e75b1d58
86, 2b8, 2a6e8544170, 0, 5c
24, fffffffffffffffe, 20008, 1, b7fc37dd08
d, fffffffffffffffe, 5, b7fc37dbc0, 8
d, fffffffffffffffe, 5, b7fc37dbe8, 8
24, fffffffffffffffe, 4, 1, b7fc37dd00
0, b7fc37da00, 7c0, 1, 7fff27446728
0, b7fc37da00, 7c0, 1, 7fff27446728
21, 7c0, 4, b7fc37dbb0, 50
21, 7c0, d, b7fc37d660, 400
21, 7c0, 25, 0, 0
21, 7c0, 25, 2a6e6879dd0, 18
16, 1c4, 7, 4dfb3fe388, 4
129, 4dfb3fe3e0, 20019, 4dfb3fe440, 0
48, 4dfb3fe650, 1f0003, 0, 1
7, 190, 56c, 0, 0
f, 56c, 1, 162eb2c07e0, 4
16, 1c0, 7, 4dfb3fe318, 4
129, 4dfb3fe370, 20019, 4dfb3fe3d0, 0
17, 56c, 4dfb3fe678, 2, 4dfb3fe3a0
f, 56c, 1, 162eb2c07e0, 0
16, 1c0, 7, 4dfb3fe318, 4
129, 4dfb3fe370, 20019, 4dfb3fe3d0, 0
17, 56c, 4dfb3fe678, 2, 4dfb3fe3a0
16, 1c4, 7, 4dfb3fe318, 4
129, 4dfb3fe370, 20019, 4dfb3fe3d0, 0
f, 56c, 1, 162eb2c07e0, 0
129, 4dfb3fe248, 2000000, 4dfb3fe288, 0
16, 56c, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
f, 56c, 20019, 4dfb3fe0a0, 5c
16, 1c4, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
129, 4dfb3fe248, 2000000, 4dfb3fe288, 0
16, 56c, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
143c, 0, 0, 0, 1
143c, 0, 2080000, 181a79d5bc0, 1
143c, 0, 0, 0, 0
1000, d, 0, 2, 5c
2f, fffffffffffffffe, 8, 0, 0
30, ffffffffffffffff, a, 0, 362367e188
42, 248, c, 362367e190, 0
165, 7c0, 0, 0, 0
f, 248, 0, 362367e128, 0
0, 362367e1c0, 230, 1, 7fff27446728
f, 230, 0, 362367e128, 0
145a, ffffffffffffffff, 362367e3f8, 181a7961080, 1
19, ffffffffffffffff, 34, 362367e360, 8
10a2, 362367dd90, 362367dd68, 362367dd48, 362367dd10
106f, 0, 362367e028, 362367dc60, 362367e010
1e3, 18, 1c5a62ea5d0, 10, c4170ff738
89, 1f0, 0, b7fc27f8d8, 10
f, 56c, 0, 0, 0
17, 490, 4dfb3fe338, 2, 4dfb3fe060
165, 7c0, 0, 0, 2a6e75e61c0
21, 7c0, 21, 0, 0
21, 7c0, 21, 2a6e683f7a0, 10
21, 7c0, 22, 0, 0
21, 7c0, 22, 2a6e71631d0, 10
8c, 1f0, 0, 0, 0
1ae, 20, 9, b7fc27f750, 4
d, fffffffffffffffe, 2c, 2a6e6821c68, 8
5e, 43c, 300, 78, b7fc27d588
76, ffffffffffffffff, b7fc27e260, b7fc27e1b0, 1000
76, ffffffffffffffff, b7fc27e3d0, b7fc27e320, 1000
76, ffffffffffffffff, b7fc27e460, b7fc27e3b0, 1000
f, 490, 1, 162eb2c07e0, 0
16, 1c0, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
17, 490, 4dfb3fe338, 2, 4dfb3fe060
f, 490, 1, 162eb2c07e0, 0
129, 4dfb3fe248, 2000000, 4dfb3fe288, 0
16, 490, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
f, 490, 0, 0, 0
17, 56c, 4dfb3fe338, 2, 4dfb3fe060
f, 56c, 1, 162eb2c07e0, 0
16, 1c0, 7, 4dfb3fe028, 4
129, 4dfb3fe080, 20019, 4dfb3fe0e0, 0
17, 56c, 4dfb3fe338, 2, 4dfb3fe060
f, 56c, 1, 162eb2c07e0, 0
1ae, 20, 9, 4dfb3ffa38, 4
1e3, 20, 162eb409380, 10, 4dfb3ffb68
24, fffffffffffffffe, 8, 0, a01cf7ded0
24, fffffffffffffffe, 8, 1, a01cf7de80
21, 4ac, c, a01cf7dea0, 4
f, 4ac, 1, 20fc5ba07e0, 4
76, ffffffffffffffff, b7fc27e460, b7fc27e3b0, 1000
76, ffffffffffffffff, b7fc27e3d0, b7fc27e320, 1000
76, ffffffffffffffff, b7fc27e460, b7fc27e3b0, 1000
76, ffffffffffffffff, b7fc27e3d0, b7fc27e320, 1000
76, ffffffffffffffff, b7fc27e460, b7fc27e3b0, 1000
76, ffffffffffffffff, b7fc27e460, b7fc27e3b0, 1000
76, ffffffffffffffff, b7fc27e460, b7fc27e3b0, 1000
24, fffffffffffffffe, 4, 1, 2a6e75b1ae8
86, 4ac, 2a6e8543070, 0, 5c
24, fffffffffffffffe, 8, 1, b7fc27e9c0
0, 2a6e856a350, 648, 1, 7fff10360770
29, a01cf7ddb8, 0, a01cf7dda8, a01cf7dd98
1005, 1a0034, 81, 0, 362367dac0
0, 2a6e856a350, 648, 1, 7fff10360770
f, 648, 1, 2a6e66b07e0, 4
d, fffffffffffffffe, 5, b7fc27e8f0, 8
d, fffffffffffffffe, 5, b7fc27e918, 8
16, 310, 7, b13efea08, 4
76, ffffffffffffffff, b7fc27e2f0, b7fc27e240, 1000
36, 50, 42602ffe10, b0, 0
5b, 2, 42602ffdf8, 1, 0
76, ffffffffffffffff, b7fc27e380, b7fc27e2d0, 1000
76, ffffffffffffffff, b7fc27e2f0, b7fc27e240, 1000
76, ffffffffffffffff, b7fc27e2f0, b7fc27e240, 1000
76, ffffffffffffffff, b7fc27e380, b7fc27e2d0, 1000
76, ffffffffffffffff, b7fc27e2f0, b7fc27e240, 1000
76, ffffffffffffffff, b7fc27e380, b7fc27e2d0, 1000
76, ffffffffffffffff, b7fc27e380, b7fc27e2d0, 1000
4, 484, 0, b7fc27e1d8, 2011
70, 1338, b49abff756, b49abff750, 23252cf2018
21, 7c0, 1d, b7fc37d5bc, 4
76, ffffffffffffffff, b7fc37d020, b7fc37cf70, 1000
76, ffffffffffffffff, b7fc37d0b0, b7fc37d000, 1000
f, 7c0, 1, 2a6e66b07e0, 4
129, b7fc37dc68, 2000000, b7fc37dca8, 0
16, 7c0, 7, b7fc37da48, 4
129, b7fc37daa0, 20019, b7fc37db00, 0
f, 7c0, 0, 0, 0
17, 4e8, b7fc37ddd8, 2, b7fc37db00
f, 4e8, 1, 2a6e66b07e0, 0
24, fffffffffffffffe, 20008, 1, b7fc37df40
1e0, 232507f1710, 0, 11, 232507f03c8
48, b7fc37de08, 1f0003, 0, 1
3e, 288, 2a6e75e5ef0, 2a6e71cc838, 0
e, 288, 0, 377c, 0
4, 484, 0, b7fc27e1d8, 2011
e, 4e8, 0, 0, 0
f, 4e8, 1, 2a6e66b07e0, 4
7c, 1f0, 40000, 0, 5578
7e, 1f0, 0, b7fc37d908, 2a6e754f4e0
8c, 1f0, 410000, 2a6e854b870, b7fc37f0b8
80, 1f0, 0, 10, 0
d, fffffffffffffffe, 2c, b7fc37f200, 8
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
4, 484, 0, b7fc27e1d8, 2011
5, 362367d9f0, 18, 0, 0
f, 538, 1, 20fc5ba07e0, 4
1d3, c, 0, 0, 425f351710
24, fffffffffffffffe, 4, 1, 425f6fbf08
24, fffffffffffffffe, 4, 1, 425f6fc058
16, 360, 7, 425f6fb8e8, 4
129, 425f6fb940, 20019, 425f6fb9a0, 0
16, 6b4, 7, 425f6fb888, 4
129, 425f6fb8e0, 1, 425f6fb940, 0
16, 6b4, 3, 425f6fba80, 204
4, 42c, 0, 6cf4fe408, 1eb1b8e1328
4, 42c, 0, 6cf4fe408, 1eb1b8dfe28
4, 42c, 0, 6cf4fe408, 1eb1b8df0a8
4, 42c, 0, 6cf4fe408, 1eb1b8dfca8
4, 42c, 0, 6cf4fe408, 1eb1b8e14a8
4, 42c, 0, 6cf4fe408, 1eb1b8df228
4, 42c, 0, 6cf4fe408, 1eb1b8e08a8
4, 42c, 0, 6cf4fe408, 1eb1b8e02a8
4, 42c, 0, 6cf4fe408, 1eb1b8e0d28
4, 42c, 0, 6cf4fe408, 1eb1b8e1928
4, 42c, 0, 6cf4fe408, 1eb1b8df528
4, 42c, 0, 6cf4fe408, 1eb1b8e0728
4, 42c, 0, 6cf4fe408, 1eb1b8e1f28
4, 42c, 0, 6cf4fe408, 1eb1b8e0a28
4, 42c, 0, 6cf4fe408, 1eb1b8df6a8
4, 42c, 0, 6cf4fe408, 1eb1b8e1628
4, 42c, 0, 6cf4fe408, 1eb1b8e1028
4, 42c, 0, 6cf4fe408, 1eb1b8e17a8
17, 6b4, 425f6fbb38, 2, 425f6fb860
17, 6b4, 425f6fbab8, 2, 425f6fb7e0
5e, 154, 300, 78, ee3fffdb58
17, 6b4, 425f6fbab8, 2, 425f6fb7e0
16, 6b4, 7, 425f6fb7b8, 4
4, 484, 0, b7fc27e1d8, 2011
1bd, 2c, b5c597f8d0, 0, b5c597f8d8
17c, 20, 1, 0, ffff0000
4, 42c, 0, 6cf4fe408, 1eb1b8e0ba8
4, 42c, 0, 6cf4fe408, 1eb1b8e1aa8
4, 42c, 0, 6cf4fe408, 1eb1b8df828
4, 42c, 0, 6cf4fe408, 1eb1b8df9a8
4, 42c, 0, 6cf4fe408, 1eb1b8dfb28
4, 42c, 0, 6cf4fe408, 1eb1b8e11a8
4, 42c, 0, 6cf4fe408, 1eb1b8dffa8
4, 42c, 0, 6cf4fe408, 1eb1b8e2528
4, 42c, 0, 6cf4fe408, 1eb1b8e2228
4, 42c, 0, 6cf4fe408, 1eb1b8e2828
4, 42c, 0, 6cf4fe408, 1eb1b8e2b28
76, ffffffffffffffff, 6cf4fe1c0, 6cf4fe110, 1000
76, ffffffffffffffff, 6cf4fe190, 6cf4fe0e0, 1000
4, 42c, 0, 6cf4fe408, 1eb1b8e26a8
76, ffffffffffffffff, 6cf4fe100, 6cf4fe050, 1000
129, 425f6fb810, 20019, 425f6fb870, 0
17, 6b8, 425f6fba28, 2, 425f6fb750
17, 6b8, 425f6fba28, 2, 425f6fb750
17, 6b8, 425f6fb9a8, 2, 425f6fb6d0
17, 6b8, 425f6fba28, 2, 425f6fb750
17, 6b8, 425f6fb9e8, 2, 425f6fb710
f, 6b8, 1, 1b647e007e0, 0
16, 6b4, 7, 425f6fb708, 4
129, 425f6fb760, 1, 425f6fb7c0, 0
16, 6b4, 7, 425f6fb708, 4
129, 425f6fb760, 1, 425f6fb7c0, 0
f, 6b4, 1, 1b647e007e0, 0
8c, 450, 0, 1b648d88c70, 425f6fce20
8c, 450, 20000, 1b648d88c70, 1b647f9c538
8c, 21c, 0, 0, 0
4, 42c, 0, 6cf4fe408, 1eb1b8e29a8
1bd, 28, 47ec87f510, 0, 47ec87f540
1bd, 28, 47ec87f460, 0, 47ec87f468
90, 2c, 18, 28, 1ed4ce30d68
e, ac, 0, 10, 80000000
17, 418, 9ab3afc7f8, 2, 9ab3afc520
1bd, 98, b7fc27e480, 0, b7fc27e488
8c, 1f0, 410000, 2a6e8546370, b7fc27f5a8
d, fffffffffffffffe, 2c, b7fc27f630, 8
90, 30, 1c, 2c, 1f6d1a02558
70, 2c70, b49aafdbb6, b49aafdbb0, 232507f1710
1bd, 24, 8eee2ff610, 0, 8eee2ff640
1e, ffffffffffffffff, b49abff690, b49abff698, 4000
1e, ffffffffffffffff, b49abff690, b49abff698, 4000
1e, ffffffffffffffff, b49abff690, b49abff698, 4000
1e3, 88, 23250a8ed90, 10, b49abffa18
23, ffffffffffffffff, 26ddf600000, 3, e2ce0fd518
2a, ffffffffffffffff, 26ddf600000, 0, 0
3e, ac, 0, 47ec8ff928, 0
3e, 1ac, 0, 47ec8ff998, 0
34, 0, 47ec8ff9e0, 47ec8ff998, 0
1bd, 24, 8eee2ff560, 0, 8eee2ff568
26, d6faafc6a8, 410, d6faafc650, d6faafc640
70, 904, e2ce07dcb6, e2ce07dcb0, 26ddcc30d10
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 6b5bea2018, d6faafc6d8, 8
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
90, 28, 14, 24, 19281690d68
1e3, 18, 19283683f90, 10, 8eee2ff6e8
d, fffffffffffffffe, 2c, 2a6e684da48, 8
76, ffffffffffffffff, 4269b7dca0, 4269b7dbf0, 1000
6, 1478, 0, 0, 4269b7e150
76, ffffffffffffffff, 4269b7db30, 4269b7da80, 1000
6, 1478, 0, 0, 4269b7e150
6, 1478, 0, 0, 4269b7e150
76, ffffffffffffffff, 4269b7dd30, 4269b7dc80, 1000
6, 1478, 0, 0, 4269b7e150
76, ffffffffffffffff, 4269b7dd30, 4269b7dc80, 1000
6, 1478, 0, 0, 4269b7e150
6, 1478, 0, 0, 4269b7e150
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff420
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
5e, 7fffffff0005000c, 200, 28, b5a89ff480
24, fffffffffffffffe, 4, 1, 2a6e75b4458
86, 4ac, 2a6e854a770, 0, 5c
21, fffffffffffffffa, 1, b7fb87dcc0, 58
d, fffffffffffffffe, 5, b7fb87dbd0, 8
d, fffffffffffffffe, 5, b7fb87dbf8, 8
24, fffffffffffffffe, 4, 1, 2a6e75b4458
86, 4ac, 2a6e854a770, 0, 5c
d, fffffffffffffffe, 5, a01cf7df00, 8
76, ffffffffffffffff, 4269b7db30, 4269b7da80, 1000
6, 1478, 0, 0, 4269b7e150
6, 1478, 0, 0, 4269b7e150
6, 1478, 0, 0, 4269b7e150
76, ffffffffffffffff, 4269b7db30, 4269b7da80, 1000
6, 1478, 0, 0, 4269b7e150
21, fffffffffffffffa, 1, b7fb87dc60, 58
17c, 20, 1, 0, ffff0000
90, 30, 1c, 2c, 187eba02558
1ae, 20, 9, 426a4ff460, 4
1ae, 20, 9, 426a4ff488, 4
1e3, 20, 187aaf84cc0, 10, 426a4ff5b8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
14c2, b, a3fb8ff520, 0, 14ff
55, a3fb8ff340, 80100080, a3fb8ff380, a3fb8ff348
7, cdc, 0, 0, 0
f, cdc, 1, 238a35107e0, 4
7, 60c, 0, 0, 0
76, ffffffffffffffff, 4269b7db30, 4269b7da80, 1000
129, e2ce07d938, 2000000, e2ce07d978, 0
16, 744, 7, e2ce07d718, 4
129, e2ce07d770, 20019, e2ce07d7d0, 0
f, 5a8, 1, 20fc5ba07e0, 4
14c2, b, a3fb8ff520, 0, 14ff
55, a3fb8ff340, 80100080, a3fb8ff380, a3fb8ff348
7, cdc, 0, 0, 0
f, cdc, 1, 238a35107e0, 4
7, 60c, 0, 0, 0
14c2, b, a3fb8ff520, 0, 14ff
55, a3fb8ff340, 80100080, a3fb8ff380, a3fb8ff348
f, 744, 0, 0, 0
f, 738, 1, 26ddca307e0, 0
3d, e2ce07d738, e2ce07d768, 6, 0
3d, e2ce07d0e0, e2ce07d110, 6, 0
55, e2ce07d300, a0100080, e2ce07d340, e2ce07d308
4a, e2ce07d4d8, 5, 0, 0
1ae, 20, 9, a01cf7f4c8, 4
1e3, 20, 20fc5e933b0, 10, a01cf7f5f8
28, 744, ffffffffffffffff, e2ce07d4c0, 0
f, 744, 0, e821618f, e2ce07d488
5e, 7fffffff0005000c, 200, 28, b5a89ff480
1bd, 28, 47ecbff800, 0, 47ecbff830
1bd, 28, 47ecbff750, 0, 47ecbff758
90, 2c, 18, 28, 1ed4ce30d68
1e0, 7ff68f5cbb9c, 0, 0, 2800
89, 104, 0, be0f9ff5e8, 10
f, 738, 0, e2ce07d468, 0
7, cdc, 0, 0, 0
f, cdc, 1, 238a35107e0, 4
7, 60c, 0, 0, 0
3f, 7e8, 1978c604130, d6faafcae0, 138
24, fffffffffffffffe, 8, 1, e8a927eba8
131, ffffffffffffffff, 8, e8a927eba8, 5c
21, 290, c, e8a927eb68, 4
f, 290, 1, 2522ec507e0, 4
24, fffffffffffffffe, 8, 1, e8a927edb0
131, ffffffffffffffff, 8, e8a927edb0, 5c
21, 290, c, e8a927ed98, 4
f, 290, 1, 2522ec507e0, 4
8a, 48c, ce8cfed60, 2, 0
76, ffffffffffffffff, e2ce0fcde0, e2ce0fcd30, 1000
6, 524, 0, 0, 0
5b, 2, e2ce0fe7c0, 1, 0
4, 1d4, 0, 325637daf8, 0
e, 960, 0, 2, 0
89, 48c, 0, ce8cfeb70, 10
4, 508, 0, 325637ea28, 0
4, 508, 0, 325637e708, 0
4, 1d4, 0, 325637daf8, 0
4, 564, 0, 0, 252300fec00
3f, 7e8, 1978c603d80, d6faafc430, 40
4, 564, 0, 0, 252343500e0
4, 564, 0, 0, 25234350c50
8c, 744, 20000, 2523638c570, 2522f793298
4, 1d4, 0, 325637daf8, 0
4, 1d4, 0, 325637d398, 14005ea7db0
e, 524, 0, 2, 1
14c2, b, a3fb8ff520, 0, 14ff
1bd, 94, b49aafdb00, 0, b49aafdb08
1e, ffffffffffffffff, b49aafda80, b49aafda88, 4000
1e, ffffffffffffffff, b49aafd9c0, b49aafd9c8, 4000
1e, ffffffffffffffff, b49aafda80, b49aafda88, 4000
1e, ffffffffffffffff, b49aafda80, b49aafda88, 4000
1e, ffffffffffffffff, b49aafd9c0, b49aafd9c8, 4000
1e, ffffffffffffffff, b49aafd9c0, b49aafd9c8, 4000
1e, ffffffffffffffff, b49aafda80, b49aafda88, 4000
8c, 104, 0, 0, 0
1e, ffffffffffffffff, b49aafd9c0, b49aafd9c8, 4000
1e0, 7ff68f5cbb9c, 0, 0, 2800
e, 960, 0, 2, 0
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
d, fffffffffffffffe, 5, b7fb87db70, 8
e, 4c, 0, 0, 0
1d0, 7fff273aef34, 0, 25f9efef28, 0
43, 25f9eff360, 1, 25f9eff008, 0
1, 68c, 25f9eff750, 0, 25f9eff700
1e3, 68c, 196d63c4220, 10, 25f9eff528
4, 42c, 0, 6cf4fe408, 1eb1b8e2ca8
d, fffffffffffffffe, 5, b7fb87db98, 8
1ae, 20, 9, b7fb87f3f8, 4
1e3, 20, 2a6e68c1130, 10, b7fb87f528
70, 3444, 47ec8ff7b2, 0, 47ec8ff7b0
1e0, 7ff68f5cbb9c, 0, 0, 2800
70, f4, 0, 47ec87f4d8, 0
1e3, 1c, 1ed4ce3a000, 10, 47ec87f5e8
8c, 224, 20000, 27a7f8647f0, 27a7eb62f88
16, b0, 7, db698fd1c8, 4
129, db698fd220, 101, db698fd280, 0
15e, db698fd620, db698fd618, db698fd610, 4
40, db698fd6f8, 100000, db698fd6a0, 0
4, 788, 0, db698fd668, 0
f, 788, 1, 264a6af07e0, 4
8c, 378, 20000, 264a8f69f60, 264ae8fe1a8
89, 160, 0, 86c36ff888, 10
8c, 160, 0, 0, 0
1ae, 18, 9, 86c36ff700, 4
8c, 48c, 1000000, 0, 0
8c, 77c, 20000, 19281752e10, 19283fee128
89, 160, 0, 86c37ff728, 10
8c, 160, 0, 0, 0
1ae, 18, 9, 86c37ff5a0, 4
d, fffffffffffffffe, 2c, 24ab147d808, 8
19, 7e8, 1, d6faafc730, 30
f, 30c, 10, 8, 2
48, ee4017e328, 1f0003, 0, 0
17c, 18, 1, 0, ffff0000
4, 30c, 0, 0, 0
1ae, 20, 9, b7fbaff908, 4
1e3, 20, 2a6e684dcc0, 10, b7fbaffa38
89, 1f0, 0, b7fbaff828, 10
8c, 1f0, 0, 0, 0
1ae, 20, 9, b7fbaff6a0, 4
d, fffffffffffffffe, 2c, 2a6e754f598, 8
5e, 43c, 300, 78, b7fbafd4d8
24, fffffffffffffffe, 20008, 1, b7fbafe270
24, fffffffffffffffe, 4, 1, 2a6e75b1fc8
86, 2b8, 2a6e8546370, 0, 5c
24, fffffffffffffffe, 20008, 1, b7fbafe270
d, fffffffffffffffe, 5, b7fbafe1a0, 8
1ae, 18, 9, 86c37ff808, 4
1e3, 18, 24ab10fe220, 10, 86c37ff938
5e, 7fffffff0005000c, 200, 28, 8eedf2e6e0
